Course_Number,Title,Category,AI_Metadata_Rating_10,Rating_Tier,Rating_Factors,Source_Rating_5,Source_Review_Count,Likes,Dislikes,Like_Ratio_Percent,Listed_Price_INR,Image_Path,Title_Language_Hint,Exact_Duplicate_Count,Rating_Note
"1205","Ai Graphic Design Course By Xo Multimedia","AI & Automation","9.3","Excellent metadata signal","good source rating; moderate review volume; very positive reactions; clear/specific title","4.8","655","55","1","98.2",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_2528_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"1757","AI Powered YouTube Shorts Mastery Self Paced","AI & Automation","9.3","Excellent metadata signal","good source rating; moderate review volume; very positive reactions; clear/specific title","4.8","679","89","0","100",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_2200_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"2906","Be10x AI Tool Mastery Program By Aditya Kachave And Aditya Goenka","AI & Automation","9.3","Excellent metadata signal","strong source rating; moderate review volume; very positive reactions; clear/specific title","4.9","692","72","3","96",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_2059_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"1847","Instagram Automations for 2025 Automate DMs, Chatbot, Stories","AI & Automation","9.3","Excellent metadata signal","strong source rating; moderate review volume; very positive reactions","5","609","89","0","100",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_495_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"2262","Learn to Sell Digital Products Using Al on Automation","AI & Automation","9.3","Excellent metadata signal","strong source rating; moderate review volume; very positive reactions","4.9","664","89","0","100",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_687_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"746","Rishi Jain 30 Days Ai Mastery Course","AI & Automation","9.3","Excellent metadata signal","strong source rating; moderate review volume; very positive reactions; clear/specific title","4.9","672","72","3","96",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_2885_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"3552","The AI Powered Facebook Ads & Offers Workshop 2024 by Depesh Mandalia","AI & Automation","9.3","Excellent metadata signal","good source rating; high review volume; very positive reactions; clear/specific title","4.7","794","89","0","100",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_1104_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"1202","2-Day AI Engineering Mastermind By Outskill","AI & Automation","9.2","Excellent metadata signal","strong source rating; moderate review volume; very positive reactions","4.9","544","89","0","100",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_278_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"3553","AI Content Creation Mastery Course 2024 by Growth School","AI & Automation","9.2","Excellent metadata signal","good source rating; high review volume; positive reactions; clear/specific title","4.8","831","21","2","91.3",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_110_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"1873","AI Course BY Mitesh Khatri","AI & Automation","9.2","Excellent metadata signal","good source rating; high review volume; positive reactions; clear/specific title","4.8","721","21","2","91.3",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_1876_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"1694","AI Ecom Mastery","AI & Automation","9.2","Excellent metadata signal","strong source rating; high review volume; positive reactions","4.9","898","38","4","90.5",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_3039_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"749","AI Generalist Accelerator Program","AI & Automation","9.2","Excellent metadata signal","good source rating; high review volume; positive reactions; clear/specific title","4.8","783","38","4","90.5",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_1759_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"2903","AI Mastery Course 2025 by Deepak Bajaj","AI & Automation","9.2","Excellent metadata signal","strong source rating; moderate review volume; positive reactions; clear/specific title","5","581","21","2","91.3",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_3085_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"3615","ChatGPT Workshop by Vaibhav Sisinty (GrowthSchool)","AI & Automation","9.2","Excellent metadata signal","strong source rating; moderate review volume; very positive reactions","5","575","55","1","98.2",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_2321_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"1085","Digital Marketing strategy with ChatGPT 2026 By ""Senator We Run Ads""","AI & Automation","9.2","Excellent metadata signal","good source rating; moderate review volume; very positive reactions; clear/specific title","4.8","465","55","1","98.2",,"","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"2027","Generative AI 360 The Ultimate Zebra Learning Guide (PDF)","AI & Automation","9.2","Excellent metadata signal","strong source rating; moderate review volume; very positive reactions","5","469","89","0","100",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_956_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"2176","Generative AI Session Recorded Course","AI & Automation","9.2","Excellent metadata signal","good source rating; high review volume; very positive reactions; clear/specific title","4.7","882","72","3","96",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_2983_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"3414","How to Make AI Agents Without Coding Full Course (n8n + OpenAI)","AI & Automation","9.2","Excellent metadata signal","strong source rating; high review volume; positive reactions; clear/specific title","4.9","788","38","4","90.5",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_1704_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"2133","MS Excel Course with AI Excel the MS Excel with AI","AI & Automation","9.2","Excellent metadata signal","good source rating; high review volume; positive reactions; clear/specific title","4.8","991","21","2","91.3",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_1527_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"787","Office Automation","AI & Automation","9.2","Excellent metadata signal","strong source rating; moderate review volume; very positive reactions","5","489","89","0","100",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_2715_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"1760","Short Sparks Fundamentals of AI Filmmaking eBook","AI & Automation","9.2","Excellent metadata signal","good source rating; high review volume; very positive reactions; clear/specific title","4.7","790","55","1","98.2",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_143_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"1727","Smart Automation Instagram & WhatsApp","AI & Automation","9.2","Excellent metadata signal","strong source rating; moderate review volume; very positive reactions","5","419","89","0","100",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_2599_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"1213","WordPress Freelancing AI Mastery Course","AI & Automation","9.2","Excellent metadata signal","good source rating; high review volume; positive reactions; clear/specific title","4.8","951","21","2","91.3",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_3160_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"1764","AI Filmmaking Mastery","AI & Automation","9.1","Very strong metadata signal","good source rating; high review volume; positive reactions; clear/specific title","4.7","938","38","4","90.5",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_2144_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"677","AI for Content Creation (Recording Updated)","AI & Automation","9.1","Very strong metadata signal","good source rating; moderate review volume; very positive reactions","4.8","669","89","0","100",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_561_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"2538","AI for Data Analysts (DA 2.0)","AI & Automation","9.1","Very strong metadata signal","strong source rating; moderate review volume; positive reactions","4.9","676","21","2","91.3",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_1478_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"2428","Chat GPT AI prompt engineering course (lifetime)","AI & Automation","9.1","Very strong metadata signal","good source rating; high review volume; positive reactions; clear/specific title","4.7","856","21","2","91.3",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_2667_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"1910","Gen AI Beginner to Advanced 2025 Batch 5","AI & Automation","9.1","Very strong metadata signal","strong source rating; moderate review volume; very positive reactions","4.9","390","55","1","98.2",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_223_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"1203","Generative AI Mastermind By Outskills ( Founded By Vaibhav Sisinty )","AI & Automation","9.1","Very strong metadata signal","strong source rating; moderate review volume; positive reactions","5","581","21","2","91.3",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_1596_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"3572","Growth School Generative AI Course – Learn Future Ready Skills and Master the Power of Artificial Intelligence","AI & Automation","9.1","Very strong metadata signal","good source rating; moderate review volume; very positive reactions","4.7","684","89","0","100",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_2450_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"711","Har Ghar AI Sikhega 8 Week Complete AI Program in Hindi","AI & Automation","9.1","Very strong metadata signal","strong source rating; very positive reactions; clear/specific title","5","227","72","3","96",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_886_2sUM.jpg","Hindi / Hinglish","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"2960","Jo Fit Hai Wo Hit Hai","AI & Automation","9.1","Very strong metadata signal","good source rating; high review volume; very positive reactions","4.7","990","55","1","98.2",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_2659_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"3369","Marketing Automation 2024 by Kaushik Sen Deka","AI & Automation","9.1","Very strong metadata signal","good source rating; high review volume; positive reactions","4.8","823","38","4","90.5",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_1654_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"1845","Marketing Automation Volume 1","AI & Automation","9.1","Very strong metadata signal","good source rating; moderate review volume; very positive reactions","4.8","535","55","1","98.2",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_1739_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"1716","Mastering AI Tools for Success","AI & Automation","9.1","Very strong metadata signal","good source rating; high review volume; very positive reactions","4.7","862","72","3","96",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_2388_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"1072","Masters of Midjourney By Christian Heidorn","AI & Automation","9.1","Very strong metadata signal","good source rating; high review volume; very positive reactions","4.7","834","89","0","100",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_1043_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"1500","Mission 3 Ai Social Mastery Course by Digital Scholar","AI & Automation","9.1","Very strong metadata signal","good source rating; moderate review volume; very positive reactions; clear/specific title","4.7","520","55","1","98.2",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_479_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"3331","Photoartio Pro AI in Newborn & Maternity Editing Extensive Course","AI & Automation","9.1","Very strong metadata signal","strong source rating; very positive reactions; clear/specific title","5","267","72","3","96",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_2634_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"1702","Prompt Engineering for AI","AI & Automation","9.1","Very strong metadata signal","strong source rating; moderate review volume; very positive reactions","4.9","344","89","0","100",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_476_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"1763","Short Sparks Midjourney Stock Images 5000 Midjourney stock Images","AI & Automation","9.1","Very strong metadata signal","strong source rating; high review volume; positive reactions","5","901","21","2","91.3",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_2430_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"3508","Skill Nation Chat GPT & AI Tools Advanced Program VY NAVIN PARMAR","AI & Automation","9.1","Very strong metadata signal","good source rating; high review volume; positive reactions; clear/specific title","4.7","866","21","2","91.3",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_704_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"3497","Sneh desai goal mastery","AI & Automation","9.1","Very strong metadata signal","good source rating; moderate review volume; very positive reactions","4.8","459","89","0","100",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_953_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"810","Spring AI Morning Batch","AI & Automation","9.1","Very strong metadata signal","strong source rating; moderate review volume; very positive reactions","4.9","490","55","1","98.2",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_868_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"3028","Virtual AI Model Creation","AI & Automation","9.1","Very strong metadata signal","good source rating; high review volume; positive reactions","4.7","956","21","2","91.3",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_1461_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"3243","Virtual Ai model creation course","AI & Automation","9.1","Very strong metadata signal","strong source rating; moderate review volume; positive reactions; clear/specific title","5","411","21","2","91.3",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_539_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"674","YouTube Growth Course + AI Masterclass","AI & Automation","9.1","Very strong metadata signal","strong source rating; moderate review volume; positive reactions; clear/specific title","4.9","558","38","4","90.5",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_1529_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"2844","AI For Problem Solving By Abhimanyu Bhardwaj","AI & Automation","9","Very strong metadata signal","good source rating; high review volume; positive reactions","4.7","948","38","4","90.5",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_2535_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"3496","Ai Funnel Workshop By himanshu Agarwal","AI & Automation","9","Very strong metadata signal","good source rating; moderate review volume; very positive reactions; clear/specific title","4.7","422","72","3","96",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_2425_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"764","AI Mastery From Beginner to Pro With Powerful AI Tool","AI & Automation","9","Very strong metadata signal","good source rating; moderate review volume; positive reactions; clear/specific title","4.7","488","38","4","90.5",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_3123_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"2779","AI Powered Digital Marketing Mastery Course (Beginner to Pro)","AI & Automation","9","Very strong metadata signal","strong source rating; positive reactions; clear/specific title","5","243","38","4","90.5",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_555_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"2168","AI Simplified Create and Grow Effortlessly (3 days Live course on AI)","AI & Automation","9","Very strong metadata signal","good source rating; moderate review volume; positive reactions; clear/specific title","4.7","586","21","2","91.3",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_2003_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"2329","Artificial Intelligence Youtube (Change your life)","AI & Automation","9","Very strong metadata signal","good source rating; moderate review volume; positive reactions","4.8","593","38","4","90.5",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_218_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"3389","CHATGPT MASTERY BY DEEPANSHU VIJAY ( HINDI)","AI & Automation","9","Very strong metadata signal","good source rating; high review volume; positive reactions","4.8","713","38","4","90.5",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_1296_2sUM.jpg","Hindi / Hinglish","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"2642","Dhruv rathee Chatgpt Course","AI & Automation","9","Very strong metadata signal","strong source rating; very positive reactions","4.9","274","89","0","100",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_1406_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"802","Genrative AI Mastery Course By Coach BSR","AI & Automation","9","Very strong metadata signal","strong source rating; very positive reactions; clear/specific title","4.9","194","89","0","100",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_1091_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"3314","How to Create AI Viral History & Motivational Shorts from Scratch","AI & Automation","9","Very strong metadata signal","strong source rating; moderate review volume; positive reactions","4.9","488","38","4","90.5",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_1346_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"3537","Jatan Shah AI Tools & ChatGPT Workshop","AI & Automation","9","Very strong metadata signal","good source rating; very positive reactions; clear/specific title","4.8","239","89","0","100",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_2961_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"1668","Master ChatGPT & AI Tools Transform Your Life With AI","AI & Automation","9","Very strong metadata signal","good source rating; high review volume; positive reactions","4.7","786","21","2","91.3",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_2831_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"2601","Mastering Artificial Intelligence","AI & Automation","9","Very strong metadata signal","good source rating; moderate review volume; very positive reactions","4.8","457","72","3","96",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_453_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"2954","Prompt Engineering IN Design","AI & Automation","9","Very strong metadata signal","strong source rating; high review volume; positive reactions","4.9","768","38","4","90.5",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_3113_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"1568","The AI Masterclass 2.0 (January 2026)","AI & Automation","9","Very strong metadata signal","good source rating; moderate review volume; positive reactions; clear/specific title","4.7","486","21","2","91.3",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_367_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"780","AI Agent Foundation Course By Aryan Tripathi","AI & Automation","8.9","Very strong metadata signal","good source rating; very positive reactions; clear/specific title","4.7","230","55","1","98.2",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_1626_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"2160","Ai Islamic Youtube Channel Advance Youtube","AI & Automation","8.9","Very strong metadata signal","good source rating; very positive reactions","4.7","290","55","1","98.2",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_1889_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"768","AI Simplified Zero to Hero","AI & Automation","8.9","Very strong metadata signal","good source rating; moderate review volume; positive reactions","4.7","636","21","2","91.3",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_777_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"1240","AI Strategy at Work","AI & Automation","8.9","Very strong metadata signal","good source rating; very positive reactions; clear/specific title","4.7","250","55","1","98.2",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_3138_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"26","Complete AIML Batch","AI & Automation","8.9","Very strong metadata signal","strong source rating; moderate review volume; very positive reactions","4.9","382","72","3","96","299","CDN1%20Ultra%20Premium%20Courses%20Portal_files/post-31_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"2092","Faceless YouTube Automation Using ChatGPT & Al","AI & Automation","8.9","Very strong metadata signal","good source rating; moderate review volume; very positive reactions","4.7","324","89","0","100",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_2378_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"3364","Generative AI Mastermind 2024 (Live Training)","AI & Automation","8.9","Very strong metadata signal","good source rating; moderate review volume; positive reactions","4.7","638","38","4","90.5",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_304_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"769","Har Ghar AI Sikhega 26th AI Webinar Recording","AI & Automation","8.9","Very strong metadata signal","good source rating; moderate review volume; positive reactions","4.8","673","38","4","90.5",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_2438_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
"1906","Microsoft Excel Using AI Beginner to Advanced 2025 Batch 5","AI & Automation","8.9","Very strong metadata signal","strong source rating; very positive reactions","4.9","242","72","3","96",,"CDN1%20Ultra%20Premium%20Courses%20Portal_files/poster_2588_2sUM.jpg","English / Unspecified","1","AI metadata rating based on source rating/review volume/reactions/title clarity; not a review of lesson content."
